runtime,profile,repetitions,kv_cache_usage_peak_median,full_kv_cache_usage_peak_median,requests_running_peak_median,requests_waiting_peak_median,prefill_seconds_per_request_median,decode_seconds_per_request_median,prefix_cache_hit_rate_median
vllm,input-128-concurrency-1,3,0.007444168734491274,,1.0,0.0,0.03801939942824997,1.5392463786625548,
vllm,input-128-concurrency-16,2,0.13058312655086846,,16.0,0.0,0.08930222005437827,3.221376715489896,
vllm,input-2048-concurrency-24,2,0.9987593052109182,,12.0,14.5,1.1217399096025877,4.552280826691357,
vllm,input-2048-concurrency-4,3,0.3238213399503722,,4.0,0.0,0.49705169501248747,1.734369233920006,
vllm,input-8192-concurrency-32,2,0.9646401985111663,,3.0,29.0,0.9625173531461596,4.127860516474198,
vllm,input-8192-concurrency-8,3,0.956575682382134,,3.0,5.0,1.2194402618074998,2.524467064688603,
sglang,input-128-concurrency-1,3,0.01,0.010894154065960233,1.0,0.0,,,0.34375
sglang,input-128-concurrency-16,2,0.2,0.19749374925586377,16.0,0.0,,,0.34151785714285715
sglang,input-2048-concurrency-24,2,0.99,0.9918740326229313,8.0,17.0,,,0.01485169431219681
sglang,input-2048-concurrency-4,3,0.49,0.4896416240028575,4.0,0.0,,,0.021484375
sglang,input-8192-concurrency-32,2,0.99,0.987379449934516,2.0,30.0,,,0.0
sglang,input-8192-concurrency-8,3,0.98,0.9801166805572092,2.0,6.0,,,0.0
